id|iso_country|slug_place|latitude|longitude|nearest_iata_code|kdtree_dist_ns_cities_id
mx:acapulco|mx|Acapulco|16.863611|-99.8825|ACA|0.036159498351058084|
es:barcelona|es|Barcelona|41.385064|2.1734035|BCN|0.010150946175110963|
es:benissa|es|Benissa|38.715322509637616|0.05373179868911394|ALC|0.6490844813329582|
ar:buenos aires|ar|Buenos Aires|-34.603333|-58.381667|BUE|0.01585489760294972|
za:cape town|za|Cape Town|-33.924869|18.424055|CPT|0.011979156314197738|
do:santo domingo|do|Santo Domingo|18.466667|-69.95|SDQ|0.05001795166738425|
cu:havana cuba|cu|Havana, Cuba|23.133333|-82.383333|HAV|0.019179378978472262|
pe:ica|pe|Ica|-14.066667|-75.733333|ICA|0.007945613758551115|
za:johannesburg|za|Johannesburg|-26.204103|28.047305|JNB|0.03824235392859454|
pe:lima|pe|Lima|-12.043333|-77.028333|LIM|0.02226169755431657|
bo:la paz|bo|La Paz |-16.5|-68.15|LPB|0.0019999999999988916|
es:madrid|es|Madrid|40.416775|-3.7037902|MAD|0.02640380429105037|
mx:mexico city|mx|Mexico City|19.4326077|-99.13320799999997|MEX|0.010038147403274855|
gt:guatemala city|gt|Guatemala City|14.613333|-90.535278|GUA|0.011351280676648819|
cl:santiago de chile|cl|Santiago de Chile|-33.44863074367262|-70.64208984375001|SCL|0.02494776036619065|
ec:quito|ec|Quito|-0.233333|-78.516667|UIO|0.02470960092757128|
cl:patagonia national park|cl|Patagonia National Park|-46.9543987558279|-72.478380992557|BBA|1.303038356371292|
es:las galletas|es|Las Galletas|28.00813106929442|-16.65571842061712|TCI|0.2846769730572212|
es:spain|es|Spain|0.0|0.0|C130|0.0|
co:guatapé|co|Guatapé|6.234485712319284|-75.16134947436733|CO_0050|0.0032784718671648888|
ec:san cristobal island|ec|San Cristobal Island|-0.82|-89.43|PU5|0.18788294228054808|
cr:san jose|cr|San Jose|9.933333|-84.083333|TMU|0.18819243549622783|
pe:jaén|pe|Jaén |-5.709441|-78.798618|JAE|0.011383110515142356|
py:asunción|py|Asunción|-25.30606980862828|-57.60477866859958|ASU|0.03797316656176025|
co:barranquilla|co|Barranquilla|10.963889|-74.796389|BAQ|0.0053069428110671625|
bz:belize|bz|Belize|17.504722|-88.186667|BZE|0.0062664003223560265|
pe:cuzco/cusco|pe|Cuzco/Cusco|-13525.0|-71.972222|CTF|13451.553593685745|
es:ibiza island|es|Ibiza Island|38.978634|1.420598|IBZ|0.06880956590474632|
za:lesotho|za|Lesotho|-29.6|28.3|LES|0.15723255953522824|
co:medellin|co|Medellin|6.230833|-75.590556|MDE|0.046826413753352704|
ar:mar del plata|ar|Mar del Plata|-38.0|-57.55|MDQ|0.030000000000001137|
mx:monterrey|mx|Monterrey|25.675575438448007|-100.31664177054398|MTY|0.014475075408684335|
es:la gomera island|es|La Gomera, Island|28.103303|-17.219358|GMZ|0.10670173181818654|
es:la palma|es|La Palma|28.683989|-17.764575|GMZ|0.880388467067807|
es:sevilla|es|Sevilla|37.388681389440265|-5.995313277219566|SVQ|0.010862156070727767|
es:santa cruz de tenerife   tenerife norte|es|Santa Cruz de Tenerife - Tenerife Norte|28.46363|-16.251847|SPC|0.29767636135407|
ar:ushuaia|ar|Ushuaia|-54.8|-68.3|USH|0.014142135623733162|
es:el hierro|es|El Hierro|27.725499|-18.024301|GMZ|0.9818109615409704|
es:valencia|es|Valencia|39.4699075|-0.3762881|VLC|0.028107610319272003|
es:cartaya|es|Cartaya|37.28195709537886|-7.151079010183452|FAO|0.8258443908401304|
za:pietermaritzburg|za|Pietermaritzburg|-29.59976740914758|30.37676811218262|PZB|0.016726887659236286|
pa:panama city|pa|Panama City|8.983333|-79.516667|PTY|0.02240240562975549|
za:port elizabeth|za|Port Elizabeth|-33.958056|25.6|PLZ|0.011943999999999733|
pe:tarma|pe|Tarma|-11.419335|-75.688949|JAU|0.4246212368994247|
za:umtata|za|Umtata|-31.590243070541078|28.789797375320802|UTT|0.01024507446874611|
es:asturias|es|Asturias|43.361395|-5.859327|LEN|0.8332396167693933|
es:bilbao|es|Bilbao|43.256944|-2.923611|BIO|0.009436019128846682|
es:palma de mallorca|es|Palma de Mallorca|39.574997872470774|2.6525115966796875|PMI|0.005887293577203725|
ar:puerto libertad|ar|Puerto Libertad|-25.9188997|-54.5830021|IUF|0.26386443106984225|
ar:entre ríos|ar|Entre Ríos|-32.0477|-60281.0|TVU|60101.02057918158|
pa:playa bonita|pa|Playa Bonita|8.898629|-79.57524|A07|0.0077869742583421935|
cr:limon|cr|Limon|9.963116|-83.025276|CHX|0.7276891265038955|
pa:almirante|pa|Almirante|9.297918|-82.421102|CHX|0.1730035338598598|
cr:carate|cr|Carate|8.444881|-83.463021|PJM|0.16138309128161005|
pe:jauja|pe|Jauja|-11.780624|-75.486903|JAU|0.02305688584783432|
es:albacete|es|Albacete|38.994349|-1.858542|ABC|0.012911241807047138|
es:costa del sol|es|Costa del Sol|36.508568|-4.8619621|QRL|0.022799539478024378|
mx:aguascalientes|mx|Aguascalientes|21.878990179023532|-102.29341674785229|AGU|0.0030595236610159713|
cl:antofagasta|cl|Antofagasta|-23.650928|-70.397502|ANF|0.002664805433801357|
pe:arequipa|pe|Arequipa|-16.383333|-71.533333|AQP|0.03681817184489316|
cl:arica|cl|Arica|-18.478253|-70.312599|ARI|0.03136314413447794|
cl:san pedro de atacama|cl|San Pedro de Atacama|-22.908707|-68.199716|SP1|0.0027643995731462647|
gt:atitlan lake|gt|Atitlan lake|14.6906713|-91.20252070000004|ATG|0.48532148987265555|
ar:san carlos de bariloche|ar|San Carlos de Bariloche|-41.13936457644674|-71.31362915039064|BRC|0.3067432530413791|
es:badajoz|es|Badajoz|38.879449|-6.970654|BJZ|0.0011541737304240787|
za:free state|za|Free State|-28.683146068018992|26.28592645776112|BFN|0.440431971882749|
mx:campeche |mx|Campeche (State)|19.06727845880998|-90.81747223265354|UA1|0.7101332424093832|
bo:cochabamba|bo|Cochabamba|-17.38|-66.17|CBB|0.030000000000001137|
es:cuenca|es|Cuenca|40.070392|-2.137416|ABC|1.1029996398548778|
ec:cuenca ecuador|ec|Cuenca Ecuador|-2.9001285|-79.0058965|CUE|0.005897900007635582|
cl:concepción cl|cl|Concepción, CL|-36.828194|-73.051369|CCP|0.002266229688264811|
uy:colonia del sacramento|uy|Colonia del Sacramento|-34.460719|-57.83391|CYR|0.021254140796555517|
pe:chiclayo|pe|Chiclayo|-6.776597|-79.844298|CIX|0.015712002195768873|
pe:cajamarca|pe|Cajamarca|-7.164444|-78.510556|CJA|0.024221855255125584|
cl:calama|cl|Calama|-22.454392|-68.929382|CJC|0.01035913065850776|
co:cali|co|Cali|3.420556|-76.522222|CLO|0.03027154472437721|
cu:camagüey|cu|Camagüey|21.392603|-77.905318|CMW|0.016536430479402377|
ar:san martín de los andes|ar|San Martín de los Andes|-40.15721|-71.352444|CPC|0.0024749214128963006|
ar:córdoba|ar|Córdoba|-31.416667|-64.183333|COR|0.016698981346180152|
es:ciudad real|es|Ciudad Real|38.984829|-3.927378|VDE|0.11538110818067189|
es:caceres‎|es|Caceres‎|39.4752765|-6.3724247|QUQ|0.006668721192256094|
co:cartagena de indias|co|Cartagena de Indias|10.4|-75.5|CTG|0.01440312466098425|
co:cucuta|co|Cucuta|7.9075|-72.504722|CUC|0.01973999199594195|
mx:cancun|mx|Cancun|21.149619289931536|-86.80478630279819|CUN|0.03242073209351138|
mx:cuernavaca|mx|Cuernavaca|18.924209|-99.221566|CVJ|0.018694337030234105|
mx:ensenada|mx|Ensenada|31.861713578881748|-116.62135372601914|ESE|0.008396269950633386|
mx:puerto escondido|mx|Puerto Escondido|15.862386084399816|-97.07082534466312|PXM|0.0058660168643884765|
ec:esmeraldas|ec|Esmeraldas|0.9681789|-79.6517202|AT1|0.2195991403290375|
es:formentera|es|Formentera|38.69603499076058|1.465160766541203|FU1|0.21345585961556332|
gt:tikal|gt|Tikal|17.223437|-89.621633|TKM|0.008478316932040656|
es:fuerteventura island|es|Fuerteventura Island|28.333333|-14.016667|FUE|0.044892813159346484|
mx:guanajuato|mx|Guanajuato|21.019015|-101.257359|GMO|0.02268332219936765|
ec:guayaquil|ec|Guayaquil|-2.183333|-79.883333|DU1|0.011888334309316784|
cl:chiloé|cl|Chiloé|-42.6|-73.95|PMC|1.5222680447279966|
es:huesca|es|Huesca|42.131845|-0.407806|ZAZ|0.6816785588978136|
co:ibagué|co|Ibagué|4.437778|-75.200556|IBE|0.03166388510590577|
ar:puerto iguazú|ar|Puerto Iguazú |-25.628166142364847|-54.554376494140485|IGU|0.10746727327014396|
pe:iquitos|pe|Iquitos|-3.743673|-73.251633|IQT|0.00653434143582937|
es:jaén|es|Jaén|37.779594|-3.784906|GRX|0.6462880113943046|
mx:chihuahua|mx|Chihuahua|28.66524082703519|-106.06965169994963|CUU|0.025401995856713912|
ar:jujuy|ar|Jujuy|-24.185786|-65.299477|JUJ|0.14747678362051164|
cl:viña del mar|cl|Viña del Mar|-33.015348|-71.550028|KNA|0.01775505246401062|
za:durban|za|Durban|-29.85868|31.02184|DUR|0.042314631039393806|
mx:lazaro cardenas|mx|Lazaro Cardenas|17.95587250740398|-102.19242095947266|LZC|0.0021239683812236897|
es:costa de almeria|es|Costa de Almeria|36.8333|-2.4333|LEI|0.004459820624195524|
es:lleida|es|Lleida|41.61759|0.620015|REU|0.6713432760704447|
cl:los ángeles|cl|Los Ángeles|-37.462916|-72.361225|LSQ|0.0031628596238225523|
mx:los mochis|mx|Los Mochis|25.790466|-108.985882|LMM|0.014125688655775157|
es:la manga|es|La Manga|37.73353011630549|-0.736348106607295|MJV|0.4644450632098981|
ec:loja|ec|Loja|-4.0078909|-79.21127690000003|LOH|0.01793640923986933|
